,validityRatio,mse_stats,ssim_stats,channelId,channelName,subscribersPerYearSinceFirstUpload [redacted],colorRatio
Mv8OkBjySGQ,0.2727272727272730,"{'mean': 914.560669013561, 'med': 1.4688720703125, 'std': 9286.228851248403, 'var': 86234046.27775824}","{'mean': 0.9423732802449869, 'med': 0.9982380562329015, 'std': 0.11393028694790087, 'var': 0.012980110284031033}",UC2Ds30pkifFVD0CE08wF50g,Daidus,,0.756790293531353
2yFCyPX3kT0,0.08781670315921180,"{'mean': 370.7360136175749, 'med': 3.0517578125e-05, 'std': 5829.629816402162, 'var': 33984583.79628511}","{'mean': 0.979347194245721, 'med': 1.0, 'std': 0.07916079264134097, 'var': 0.006266431091605384}",UCo8bcnLyZH8tBIH9V1mLgqQ,TheOdd1sOut,,0.2561283613553750
OyDLuom4KGs,0.14211369095276200,"{'mean': 360.7962883807682, 'med': 0.096710205078125, 'std': 4929.109090463089, 'var': 24296116.425685864}","{'mean': 0.9653285824201779, 'med': 0.9999278616268141, 'std': 0.09544704122853623, 'var': 0.009110137679281894}",UC2hm5rD_IrfYRMfq5YQudgA,Haminations,,0.7951050395089430
2juKkLxdQo0,0.032426880563435400,"{'mean': 341.4970096579739, 'med': 0.0, 'std': 5314.009866771365, 'var': 28238700.864143416}","{'mean': 0.9896720448981177, 'med': 1.0, 'std': 0.06557404343937535, 'var': 0.004299955172989085}",UC7UGbBVrqLlq6CRxWWUmyKw,DanPlan,,0.8179510207763560
uDvPIKM-L1o,0.21160996467744900,"{'mean': 858.257600279783, 'med': 0.50543212890625, 'std': 11268.389165060033, 'var': 126976594.37524234}","{'mean': 0.9335711140301945, 'med': 0.9970945507273352, 'std': 0.1432418225614973, 'var': 0.02051821973073948}",UCP21EOiKAkCGjv6kqS6UsZw,LukeOrSomething,,0.7840301040162380
2bGkEK8I6zQ,0.14442313953909000,"{'mean': 780.9174450842586, 'med': 0.0003662109375, 'std': 11515.431780064926, 'var': 132605169.08132929}","{'mean': 0.9606247076517155, 'med': 0.9999998652903738, 'std': 0.11195191232850751, 'var': 0.012533230674009832}",UCMNxwlfY6P5Rm40QOp8Hqsg,Recreyo,,0.2816923043995380
IwxWmKsVR5U,0.05928577665240550,"{'mean': 2195.5456140553497, 'med': 0.004608154296875, 'std': 23436.025020545734, 'var': 549247268.7636456}","{'mean': 0.9833316813265951, 'med': 0.9999980643453757, 'std': 0.07105120491735331, 'var': 0.005048273720207732}",UC1nM46_BMKq4vd4jmd6iMHA,ChillyPanda,,0.2906264818816600
EcgkRp2IUsc,0.2304315237177430,"{'mean': 291.136372108484, 'med': 1.064544677734375, 'std': 3094.809557855664, 'var': 9577846.199394772}","{'mean': 0.9434210864709713, 'med': 0.9949580613680816, 'std': 0.122641835112688, 'var': 0.01504101971980775}",UCsDmESjqNPukDmVnuneLrqw,Alex Clark,,0.9999617173264210
_uk_6vfqwTA,0.1187982693785130,"{'mean': 1281.9298367806884, 'med': 0.1703948974609375, 'std': 15549.693010368863, 'var': 241792952.71671426}","{'mean': 0.9601528007150744, 'med': 0.9996433572044103, 'std': 0.1157371347975856, 'var': 0.013395084371154501}",UCNIuvl7V8zACPpTmmNIqP2A,OverSimplified,,0.6549719456586
cZ_CnLE6SPo,0.22721678485612100,"{'mean': 615.7944125415935, 'med': 0.257720947265625, 'std': 12021.684592665968, 'var': 144520900.4455423}","{'mean': 0.9390648957694775, 'med': 0.9966981096397658, 'std': 0.12387362058961912, 'var': 0.01534467387798091}",UCvUmwreRrbxeR1mbmojj8fg,SomeThingElseYT,,0.12965399030675900
Vm6Yu2N-ePI,0.11716185506270500,"{'mean': 1891.5600196350304, 'med': 0.000518798828125, 'std': 17069.924855292044, 'var': 291382334.56531715}","{'mean': 0.9650209517508587, 'med': 0.9999998678054675, 'std': 0.11500598619625073, 'var': 0.013226376860972213}",UCAlxwHEm1bWWYoe5VCSQYEg,EroldStory,,0.9928727765355150
gA0bi-bFEYs,0.4053584211064530,"{'mean': 65.63369486936155, 'med': 3.171234130859375, 'std': 2149.7829886573977, 'var': 4621566.898320734}","{'mean': 0.8784138678341388, 'med': 0.9743418770715533, 'std': 0.17934459256272003, 'var': 0.03216448288148806}",UC3iNdSV_RQU7DHTGpqEW96w,Andrei Terbea,,0.9999956331758620
O0hyjRF6quc,0.11443661971831000,"{'mean': 852.4250007230166, 'med': 0.09429931640625, 'std': 8257.447308185387, 'var': 68185436.0474581}","{'mean': 0.9663546031515637, 'med': 0.999953158693207, 'std': 0.10542850153168161, 'var': 0.01111516893521579}",UCZft8Ol-dMtguwam7bWItnw,BrodyAnimates,,0.815034020420276
o0zjRGRYEhk,0.11156298087491800,"{'mean': 81.73212169099145, 'med': 0.022247314453125, 'std': 1346.6476891574234, 'var': 1813459.9987130284}","{'mean': 0.9763606426411394, 'med': 0.9999720032832611, 'std': 0.08000942229022737, 'var': 0.006401507655215932}",UCu6v4AdYxVH5fhfq9mi5llA,Let Me Explain Studios,,0.9834406641553880
vv2vPAzj8S4,0.1307355516637480,"{'mean': 669.7261899257774, 'med': 0.29345703125, 'std': 9751.242616848725, 'var': 95086732.57264678}","{'mean': 0.9647005158269296, 'med': 0.9996043865722164, 'std': 0.10173755884179594, 'var': 0.010350530879087891}",UCnbtlei4RJMHWSUq4LKn_SQ,Alex's Corner,,0.9492102091639990
5pMckBGWzAY,0.2681710646041860,"{'mean': 356.4889004455953, 'med': 2.8021392822265625, 'std': 6805.381711566425, 'var': 46313220.240122765}","{'mean': 0.9252245198233958, 'med': 0.9910287616038053, 'std': 0.14844768005246678, 'var': 0.02203671371295954}",UCOAUz4d1NUNxSHh_SOJtdGQ,GetMadz,,0.9994652024535170
n4CAhXpyVCI,0.14748498056308200,"{'mean': 1915.0151625659307, 'med': 0.6986846923828125, 'std': 16744.568689814016, 'var': 280380580.6078999}","{'mean': 0.9574182583160867, 'med': 0.9961091149980577, 'std': 0.10496731007418691, 'var': 0.011018136184210502}",UCte3qx7A5OWTPSnNjV4oheg,Katzun,,0.29270846403657100
0Vxp_Lj2b-E,0.00812816586170338,"{'mean': 157.75691438944452, 'med': 0.0, 'std': 3621.1715676961744, 'var': 13112883.522691168}","{'mean': 0.9970478369000889, 'med': 1.0, 'std': 0.03878461748368083, 'var': 0.0015042465533554408}",UCz7iJPVTBGX6DNO1RNI2Fcg,GradeAUnderA,,0.7760715644650620
nHgRnjqLmtM,0.030542778288868400,"{'mean': 820.1579376995717, 'med': 0.00152587890625, 'std': 10843.13107920273, 'var': 117573491.60077217}","{'mean': 0.987919930034715, 'med': 0.9999995495583069, 'std': 0.08037467107459803, 'var': 0.006460087750349826}",UCQO_C1sfUCpUzzV-gxQ-lxA,8 Bit Ultra,,0.9410319343321590
A6V1QujNz8s,0.05365744371009300,"{'mean': 708.3492439384121, 'med': 0.000518798828125, 'std': 11201.654995890973, 'var': 125477074.64696918}","{'mean': 0.9852558728680437, 'med': 0.9999998727891062, 'std': 0.06591214786606689, 'var': 0.004344411236318266}",UCWPB0WpnMIy-g7zncwIhvQg,Young Yong Tales,,0.12569424985985800
eNGgfPs0Xp8,0.09843107956667910,"{'mean': 112.08623069619959, 'med': 0.0047607421875, 'std': 2667.6327841647494, 'var': 7116264.671150572}","{'mean': 0.9762887073859644, 'med': 0.9999981384025791, 'std': 0.07737695005823078, 'var': 0.00598719240031394}",UCn1XB-jvmd9fXMzhiA6IR0w,Domics,,0.2797498703286120
oKLbOxLJfRg,0.06453327663193710,"{'mean': 274.5596772781526, 'med': 0.001190185546875, 'std': 5110.524646666235, 'var': 26117462.16418304}","{'mean': 0.9853441824393296, 'med': 0.9999996672287657, 'std': 0.051659838836583025, 'var': 0.0026687389486217314}",UCOsATJw-IZgqGT8MFrHjKGg,Ice Cream Sandwich,,0.08756750156662860
rlSXaDq3uOk,0.05532285088284570,"{'mean': 302.23942880828696, 'med': 0.0, 'std': 4489.081348061152, 'var': 20151851.349510536}","{'mean': 0.9836878371588706, 'med': 1.0, 'std': 0.07986820449355282, 'var': 0.006378930089023971}",UCFeqAfEuKm7lIg2ddQzh61A,Emirichu,,0.43566997824493700
so1_5hYUEE8,0.19542988313856400,"{'mean': 841.9439046979759, 'med': 0.00823974609375, 'std': 12454.665573737415, 'var': 155118694.55363995}","{'mean': 0.9670036505373334, 'med': 0.9999966263757073, 'std': 0.07671238262680032, 'var': 0.0058847896482806155}",UC_52i6mlrzOZs_NEuSepzAg,Billy But Better,,0.1977082102467270
de8PRd_d7kg,0.13995785738050300,"{'mean': 384.9443536028993, 'med': 0.1595458984375, 'std': 3844.5508534774826, 'var': 14780571.26497444}","{'mean': 0.9659841832604104, 'med': 0.9992191952658507, 'std': 0.0980245237549042, 'var': 0.009608807257375777}",UCGGTAB19HlHEWPwwmxHsEKA,GingerPale,,0.9945750409512480
1lME1ARYMBI,0.18383960418824100,"{'mean': 756.5780589021371, 'med': 0.661651611328125, 'std': 8885.172244286201, 'var': 78946285.81063388}","{'mean': 0.9672567639677166, 'med': 0.9964805925846327, 'std': 0.07704254489451441, 'var': 0.005935553723823269}",UCgmublDj4T0zEP7ngRRGkmg,Sultan Sketches,,0.8526076998147290
PgajWuZA408,0.08208412167079030,"{'mean': 2241.730493260006, 'med': 0.793243408203125, 'std': 19054.57669188356, 'var': 363076892.90687233}","{'mean': 0.9795695828092144, 'med': 0.9992219534389507, 'std': 0.07700210203403651, 'var': 0.005929323717660169}",UCRfg0SWjIHm_h95e4V8X5og,Young Don The Sauce God,,0.8887084888243960
vuk2NZ0YKAE,0.31319661168078500,"{'mean': 271.74293272966474, 'med': 0.89520263671875, 'std': 4699.272926372765, 'var': 22083166.03654005}","{'mean': 0.9495358042379803, 'med': 0.9973608701591385, 'std': 0.10273049155952081, 'var': 0.010553553896060778}",UCR0O-1cvuPNxDosvSDLpWHg,PantslessPajamas,,0.9700042188435290
F8A-tXp09fs,0.04126936829559000,"{'mean': 342.7292675381119, 'med': 0.000457763671875, 'std': 5342.421366634522, 'var': 28541466.058673073}","{'mean': 0.9827076945052889, 'med': 0.9999997844994655, 'std': 0.09073509190958716, 'var': 0.00823285690384123}",UCDQBZcjYKP1J1Nu-Y0_D37Q,Tabbes,,0.8053449043623410
plSyrHqUh78,0.21744558008894400,"{'mean': 2318.908727172999, 'med': 0.334747314453125, 'std': 18407.010427709425, 'var': 338818032.8858035}","{'mean': 0.9424369955717894, 'med': 0.9974351587354324, 'std': 0.12591818189374807, 'var': 0.015855388531427025}",UCGwu0nbY2wSkW8N-cghnLpA,Jaiden Animations,,0.5735264667717190
WXNmSruTWIA,0.10753541076487300,"{'mean': 288.2909397356962, 'med': 0.000640869140625, 'std': 5934.103956234624, 'var': 35213589.763399415}","{'mean': 0.9727744077819901, 'med': 0.9999997018663165, 'std': 0.09400734857952794, 'var': 0.008837381586952874}",UCepPGz8AVCbggMl3BvboaBA,brewstewfilms,,0.9947654462921020
Y7lYeRqhQ9Q,0.05707286563118940,"{'mean': 722.3097597282754, 'med': 0.009765625, 'std': 11937.234462709115, 'var': 142497566.61769018}","{'mean': 0.9833880484580427, 'med': 0.9999956807346844, 'std': 0.07459132767242785, 'var': 0.005563866163935501}",UCsKVP_4zQ877TEiH_Ih5yDQ,illymation,,0.5936222009037460
kbCah6yhYRs,0.22754129469099100,"{'mean': 772.3740170617928, 'med': 1.603302001953125, 'std': 10684.03259387062, 'var': 114148552.46688975}","{'mean': 0.9459357755331693, 'med': 0.9938240299996433, 'std': 0.12002812483454872, 'var': 0.014406750751298013}",UCY6Ij8zOds0WJEeqCLOnqOQ,Alex Meyers,,0.9540823331030360
0TlV3w1YGqk,0.0542982211045916,"{'mean': 727.4553869875639, 'med': 0.003509521484375, 'std': 9702.005934295117, 'var': 94128919.14909768}","{'mean': 0.987934143727606, 'med': 0.9999985903889039, 'std': 0.0651044194599961, 'var': 0.0042385854332231175}",UC7Mk9RmlKT_x8FAsMOJn1cg,The French Pineapple,,0.9950647098056910
uqJKryP1-8M,0.11865498582839500,"{'mean': 1136.719707648758, 'med': 0.080902099609375, 'std': 9891.587651577433, 'var': 97843506.26883914}","{'mean': 0.971988568188186, 'med': 0.9999727279538989, 'std': 0.08147067590107526, 'var': 0.006637471031778044}",UCj6CFdE3LSddaoszxq604TQ,TimTom,,0.950968203343594
7WSo1Uw-p_g,0.1251855517070760,"{'mean': 641.0207075328933, 'med': 0.000518798828125, 'std': 8114.722083014552, 'var': 65848714.48456403}","{'mean': 0.9722378643671709, 'med': 0.9999997905225938, 'std': 0.08670058705465648, 'var': 0.007516991795622068}",UCQ9HvHH-KRYHI5ynj2kbLwQ,TheAMaazing,,0.1797469832499850
P2EjH7l_N70,0.06005332686947040,"{'mean': 821.7854311264368, 'med': 0.000457763671875, 'std': 10237.955809427156, 'var': 104815739.15578327}","{'mean': 0.9818982754892207, 'med': 0.9999999058736276, 'std': 0.08283088704100898, 'var': 0.006860955848000389}",UCnsem444vdU1HhS0mb2wwTA,TJ Toons,,0.8695373056059760
BErOLQBZ6c8,0.16056255493700600,"{'mean': 1204.3846191585108, 'med': 0.1954345703125, 'std': 13101.55534292087, 'var': 171650752.4036184}","{'mean': 0.9604485267042148, 'med': 0.9967562474857231, 'std': 0.10397024010383668, 'var': 0.010809810827249449}",UCOinp9hALPUcZeoL3Kmaviw,Ivan Animated,,0.5347297623803780
ewsGmhAjjjI,0.08467090380265000,"{'mean': 336.0737321914767, 'med': 0.020416259765625, 'std': 5363.534541847948, 'var': 28767502.78159608}","{'mean': 0.9788225939518188, 'med': 0.9999927736968951, 'std': 0.07917517366586804, 'var': 0.006268708125020363}",UClN24S5-fc7LD0JJW0FdGWw,WowRightMeow,,0.9810045861190320
rnQlkpOFgm8,0.27148474068526500,"{'mean': 1487.8828917897024, 'med': 0.839019775390625, 'std': 14874.050511884749, 'var': 221237378.63009894}","{'mean': 0.9489711447948631, 'med': 0.9938611240825125, 'std': 0.09609276761816819, 'var': 0.009233819988519274}",UCupWnlhB3PMW1w0CLfLCfug,Infamous Swoosh,,0.9256291890938880
W8P5ewPk9fM,0.19350415631159500,"{'mean': 217.99600024349198, 'med': 3.9905853271484375, 'std': 3896.2868908512623, 'var': 15181051.535819398}","{'mean': 0.9440259298220002, 'med': 0.9936652728760289, 'std': 0.12989209653913628, 'var': 0.0168719567433323}",UCgCKYs56-LKEPGQ99DzqQOg,CurtRichy,,0.7750014337178610
9oUpImsyf4Y,0.033532114576204900,"{'mean': 528.1333401724376, 'med': 0.0, 'std': 8442.480163154547, 'var': 71275471.30525804}","{'mean': 0.9898154230475474, 'med': 1.0, 'std': 0.06235853705393221, 'var': 0.003888587143506637}",UCI-92EMS3ZJ11gz-S_oyaSA,Laddi,,0.9914371898508610
7FnQrNFyWy8,0.11886490807354100,"{'mean': 644.2504727675175, 'med': 0.406005859375, 'std': 7327.540431677843, 'var': 53692848.77787351}","{'mean': 0.9729632332424321, 'med': 0.9997487241758221, 'std': 0.0810225926827861, 'var': 0.006564660525040664}",UCUKi4zY5ETSqrKAjTBgjM-g,sWooZie,,0.544594046878632
